Date,Sample,AZ addition time (min),Position,N1,N2,dNk,NEBD time,anaphase onset time,anaphase onset time - NEBD time
20231023,4,no Mps1i,0,48,44,4,can't tell,6,#VALUE!
20231023,4,no Mps1i,1,44,48,4,can't tell,6,#VALUE!
20231023,4,no Mps1i,2,48,44,4,-1,7,8
20231023,4,no Mps1i,3,46,46,0,can't tell,7,#VALUE!
20231023,4,no Mps1i,4,46,46,0,can't tell,7,#VALUE!
20231023,4,no Mps1i,5,42,50,8,5,13,8
20231023,4,no Mps1i,6,45,47,2,1,10,9
20231023,4,no Mps1i,7,45,47,2,can't tell,,#VALUE!
20231023,4,no Mps1i,8,46,46,0,0,8,8
20231023,4,no Mps1i,9,46,46,0,2,13,11
20231023,4,no Mps1i,10,44,48,4,1,10,9
20231023,4,no Mps1i,11,46,46,0,can't tell,7,#VALUE!
20231023,4,no Mps1i,12,45,47,2,4,11,7
20231023,4,no Mps1i,13,redo,,#VALUE!,5,13,8
20231023,4,no Mps1i,14,46,46,0,can't tell,6,#VALUE!
20231023,4,no Mps1i,15,47,45,2,can't tell,8,#VALUE!
20231023,4,no Mps1i,16,46,46,0,can't tell,6,#VALUE!
20231023,4,no Mps1i,17,46,46,0,can't tell,8,#VALUE!
20231023,4,no Mps1i,18,46,46,0,can't tell,,#VALUE!
20231023,4,no Mps1i,19,46,46,0,8,17,9
20231102,1,no Mps1i,0,46,46,0,can't tell,,#VALUE!
20231102,1,no Mps1i,2,45,47,2,0,10,10
20231102,1,no Mps1i,3,46,46,0,-1,16,17
20231102,1,no Mps1i,4,46,46,0,0,9,9
20231102,1,no Mps1i,5,46,46,0,can't tell,,#VALUE!
20231102,1,no Mps1i,7,46,46,0,-2,5,7
20231102,1,no Mps1i,8,47,45,2,6,16,10
20231102,1,no Mps1i,9,46,46,0,can't tell,,#VALUE!
20231102,2,no Mps1i,0,47,45,2,-1,7,8
20231102,2,no Mps1i,1,46,46,0,can't tell,,#VALUE!
20231102,2,no Mps1i,2,47,45,2,can't tell,,#VALUE!
20231102,2,no Mps1i,3,46,46,0,8,17,9
20231102,2,no Mps1i,4,48,44,4,,4,4
20231102,2,no Mps1i,5,46,46,0,can't tell,,#VALUE!
20231102,2,no Mps1i,7,46,46,0,-2,15,17
20231102,2,no Mps1i,8,46,46,0,12,20,8
20231102,2,no Mps1i,9,46,46,0,0,10,10
20231102,2,no Mps1i,10,46,46,0,can't tell,11,#VALUE!
20231102,2,no Mps1i,11,46,46,0,3,11,8
20231102,2,no Mps1i,12,46,46,0,0,12,12
20231102,2,no Mps1i,13,43,49,6,can't tell,3,#VALUE!
20231102,2,no Mps1i,15,30,62,32,5,16,11
20231102,2,no Mps1i,16,47,45,2,can't tell,3,#VALUE!
20231102,3,no Mps1i,0,46,46,0,can't tell,3,#VALUE!
20231102,3,no Mps1i,3,46,46,0,2,12,10
20231102,3,no Mps1i,5,46,46,0,can't tell,,#VALUE!
20231102,3,no Mps1i,6,45,47,2,can't tell,,#VALUE!
20231102,3,no Mps1i,7,46,46,0,can't tell,,#VALUE!
20231102,3,no Mps1i,8,46,46,0,can't tell,,#VALUE!
20231102,3,no Mps1i,9,44,48,4,can't tell,,#VALUE!
20231102,3,no Mps1i,10,46,46,0,,5,5
20231102,3,no Mps1i,11,46,46,0,0,8,8
20231102,3,no Mps1i,12,can't analyze,,#VALUE!,2,17,15
20231102,3,no Mps1i,13,46,46,0,,4,4
20231102,3,no Mps1i,14,46,46,0,,7,7
20231102,3,no Mps1i,15,43,49,6,1,11,10
20231106,1,no Mps1i,0,47,45,2,can't tell,,#VALUE!
20231106,1,no Mps1i,1,46,46,0,can't tell,,#VALUE!
20231106,1,no Mps1i,3,42,50,8,can't tell,,#VALUE!
20231106,1,no Mps1i,4,46,46,0,1,13,12
20231106,1,no Mps1i,8,46,46,0,27,36,9
20231106,1,no Mps1i,10,46,46,0,can't tell,,#VALUE!
20231115,1,no Mps1i,1,46,46,0,can't tell,,#VALUE!
20231115,1,no Mps1i,2,46,46,0,can't tell,,#VALUE!
20231115,1,no Mps1i,3,46,46,0,can't tell,,#VALUE!
20231115,1,no Mps1i,5,46,46,0,5,16,11
20231115,1,no Mps1i,6,46,46,0,can't tell,,#VALUE!
20231115,1,no Mps1i,7,46,46,0,39,50,11
20231115,2,no Mps1i,0,45,47,2,can't tell,,#VALUE!
20231115,2,no Mps1i,1,47,45,2,-2,6,8
20231115,2,no Mps1i,5,46,46,0,-1,7,8
20231115,2,no Mps1i,7,48,44,4,-1,6,7
20231115,3,no Mps1i,0,47,45,2,can't tell,,#VALUE!
20231115,3,no Mps1i,1,46,46,0,,4,4
20231115,3,no Mps1i,2,45,47,2,4,14,10
20231115,3,no Mps1i,3,45,47,2,2,12,10
20231115,3,no Mps1i,4,47,45,2,,5,5
20231115,3,no Mps1i,5,47,45,2,0,8,8
20231115,3,no Mps1i,6,45,47,2,,4,4
20231115,3,no Mps1i,8,46,46,0,6,15,9
20231115,3,no Mps1i,9,47,45,2,,6,6
20231115,3,no Mps1i,10,46,46,0,2,11,9
20231115,3,no Mps1i,11,46,46,0,can't tell,,#VALUE!
20231115,3,no Mps1i,12,46,46,0,3,12,9
20231115,3,no Mps1i,13,46,46,0,-2,7,9
20231115,3,no Mps1i,14,45,47,2,,2,2
20231115,3,no Mps1i,15,46,46,0,4,12,8
20231115,3,no Mps1i,16,46,46,0,,12,12
